#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested0,Fri Jul 08 08:26:59 EDT 2016,44,44,CartesianPointSuite,PointAngleZeroDegreeTest+ PointPrintTest+ PointRadiusTest+ PointTranslationTest+ , ,AngleTestTest- PointAngleFortyFiveDegreeTest- PointAngleMinusNinetyDegreeTest- PointAngleNinetyDegreeTest- PointMainTest- , ,
0,Fri Jul 08 08:36:32 EDT 2016,44,44,CartesianPointSuite,PointAngleZeroDegreeTest+ PointPrintTest+ PointRadiusTest+ PointTranslationTest+ , ,AngleTestTest- PointAngleFortyFiveDegreeTest- PointAngleMinusNinetyDegreeTest- PointAngleNinetyDegreeTest- PointMainTest- , ,
1,Fri Jul 08 08:41:55 EDT 2016,44,0,PointPrintTest,PointAngleZeroDegreeTest PointPrintTest PointRadiusTest PointTranslationTest , ,AngleTestTest PointAngleFortyFiveDegreeTest PointAngleMinusNinetyDegreeTest PointAngleNinetyDegreeTest PointMainTest , ,
2,Fri Jul 08 08:43:22 EDT 2016,44,0,CartesianPointSuite,PointAngleZeroDegreeTest PointPrintTest PointRadiusTest PointTranslationTest , ,AngleTestTest PointAngleFortyFiveDegreeTest PointAngleMinusNinetyDegreeTest PointAngleNinetyDegreeTest PointMainTest , ,
